license_number,business_name,license_group,business_licenses,license_type,physical_address,county,expiration_date,tier,canopy_type,indoor_canopy_sqft,outdoor_canopy_sqft,endorsement,sos_registration_number
050-10109202F8F,Oregon Bud Company,Recreational Retailer,Oregon Bud Company LLC,Recreational Retailer,5515 SE 122ND AVE PORTLAND OR  97236-4201,Multnomah,2025-02-25,,,0,0,, 
050-10109253AEE,"Nectar Markets, LLC",Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,13800 SE MCLOUGHLIN BLVD MILWAUKIE OR  97222-7162,Clackamas,2024-12-13,,,0,0,, 
050-10109341201,High Quality Compassion,Recreational Retailer,HQ II LLC,Recreational Retailer,1435 NW 9TH ST CORVALLIS OR  97330-5468,Benton,2024-11-19,,,0,0,, 
050-10110469A34,Western Oregon Dispensary,Recreational Retailer,"Western Oregon Dispensary, Inc.",Recreational Retailer,760 NW DALE AVE PORTLAND OR  97229-5829,Washington,2024-12-11,,,0,0,, 
050-101105215C0,Mongoose Cannabis,Recreational Retailer,"Navi, Inc.",Recreational Retailer,3123 SE BELMONT ST PORTLAND OR  97214-4028,Multnomah,2025-06-11,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1011062F6DA,Yachats Cannabis Company,Recreational Retailer,Yachats Cannabis Company LLC,Recreational Retailer,430 HIGHWAY 101 N YACHATS OR  97498-,Lincoln,2025-01-10,,,0,0,, 
050-1011108FB30,Simple Cannabis Co.,Recreational Retailer,McLanahan Investments LLC,Recreational Retailer,1448 12TH ST SE SALEM OR  97302-2817,Marion,2024-09-09,,,0,0,, 
050-101114443A4,Beatnick's Finest,Recreational Retailer,"Beatnick's Finest, LLC",Recreational Retailer,126 SW AVERY AVE CORVALLIS OR  97333-1143,Benton,2024-10-30,,,0,0,, 
050-101114664FA,Tetra Cannabis,Recreational Retailer,"4.0 Belmont, Inc",Recreational Retailer,809 NE HARLOW RD TROUTDALE OR  97060-9511,Multnomah,2024-06-17,,,0,0,, 
050-10111819607,Herbal Choices,Recreational Retailer,"HC Retail, Inc.",Recreational Retailer,1891 WINCHESTER AVE REEDSPORT OR  97467-1148,Douglas,2025-07-04,,,0,0,Medical Marijuana Retailer, 
050-1011183437D,Mr. Nice Guy Retail,Recreational Retailer,"MNG Holdings, LLC",Recreational Retailer,3146 BASELINE ST CORNELIUS OR  97123-5403,Washington,2025-03-07,,,0,0,, 
050-101122730F7,Buds 4 U,Recreational Retailer,BUDS4U LLC,Recreational Retailer,72217 HIGHWAY 101 LAKESIDE OR  97449-8659,Coos,2025-02-21,,,0,0,Medical Marijuana Retailer, 
050-10112361D93,GREEN KNOTTZ CHILOQUIN,Recreational Retailer,"Green Knottz 2, LLC",Recreational Retailer,131 S 1ST AVE CHILOQUIN OR  97624-,Klamath,2025-02-03,,,0,0,, 
050-10112435901,Deanz Greenz,Recreational Retailer,Green Feather LLC,Recreational Retailer,14154 SE DIVISION ST PORTLAND OR  97236-2629,Multnomah,2024-11-29,,,0,0,Medical Marijuana Retailer, 
050-1011273FDDC,Tokyo Starfish 3,Recreational Retailer,"Tokyo Starfish 3, Inc",Recreational Retailer,923 SE 3RD ST BEND OR  97702-1748,Deschutes,2025-05-22,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10112894E36,La Mota Courts LLC,Recreational Retailer,La Mota Courts LLC,Recreational Retailer,1037 COURT ST MEDFORD OR  97501-5727,Jackson,2025-02-25,,,0,0,, 
050-1011298F0B2,Nectar Markets,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,1019 NE 122ND AVE PORTLAND OR  97230-2006,Multnomah,2024-12-13,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10113069B02,Power Plant,Recreational Retailer,Power Plant LLC,Recreational Retailer,10215 SE FOSTER RD PORTLAND OR  97266-5115,Multnomah,2024-06-06,,,0,0,, 
050-101133291FA,Sensible Cannabis Company,Recreational Retailer,Pac NW Ventures LLC,Recreational Retailer,3338 N PACIFIC HWY MEDFORD OR  97501-1351,Jackson,2024-09-20,,,0,0,, 
050-10113847600,PotLand,Recreational Retailer,"PotLand Oregon, LLC",Recreational Retailer,1761 NE DEKUM ST PORTLAND OR  97211-4841,Multnomah,2025-06-17,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1011388D21A,Redbarn Dispensary,Recreational Retailer,RB Roseburg 1 LLC,Recreational Retailer,634 W UMPQUA ST ROSEBURG OR  97471-2954,Douglas,2025-07-23,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101144582D7,PotMates,Recreational Retailer,PotMates LLC,Recreational Retailer,4607 SW BEAVERTON HILLSDALE HWY PORTLAND OR  97221-2909,Multnomah,2025-07-28,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10114859E17,Hashstoria,Recreational Retailer,"JCCD2, LLC",Recreational Retailer,1840 MAIN ST SPRINGFIELD OR  97477-5052,Lane,2024-10-18,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10114946F80,WeedAgain,Recreational Retailer,TRI Consulting & Properties LLC,Recreational Retailer,"2410 MISSION ST SE STE 010, SALEM OR  97302-1119",Marion,2025-07-30,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10114962EEF,Electric Lettuce Hillsboro,Recreational Retailer,Tualatin Valley Retail Investments Inc.,Recreational Retailer,2795 SE TUALATIN VALLEY HWY HILLSBORO OR  97123-7937,Washington,2024-09-22,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1011537E502,LA MOTA,Recreational Retailer,AARON MITCHELL,Recreational Retailer,1945 W MAIN ST MEDFORD OR  97501-2203,Jackson,2025-06-05,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1011548412A,The Green Planet,Recreational Retailer,"The Green Planet, Inc.",Recreational Retailer,17332 SE POWELL BLVD PORTLAND OR  97236-1648,Multnomah,2025-02-07,,,0,0,, 
050-1011560383A,La Mota,Recreational Retailer,AARON MITCHELL,Recreational Retailer,1258 S RIVERSIDE AVE MEDFORD OR  97501-7848,Jackson,2025-07-22,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101157106FA,Oregon Bud Company,Recreational Retailer,Oregon Bud Company LLC,Recreational Retailer,4511 SE CESAR E CHAVEZ BLVD PORTLAND OR  97202-3119,Multnomah,2024-12-02,,,0,0,, 
050-1011581AD4E,La Mota,Recreational Retailer,La Mota Medford 5 LLC,Recreational Retailer,48257 E 1ST ST OAKRIDGE OR  97463-9701,Lane,2025-01-26,,,0,0,, 
050-1011585E7DC,La Mota,Recreational Retailer,La Mota Medford 4 LLC,Recreational Retailer,1625 SHERMAN AVE NORTH BEND OR  97459-3531,Coos,2025-03-02,,,0,0,, 
050-10116104A8C,Redbarn Dispensary,Recreational Retailer,"RB Roseburg 2, LLC",Recreational Retailer,1810 NE STEPHENS ST ROSEBURG OR  97470-1424,Douglas,2025-01-08,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10116382457,Mr. Nice Guy Retail,Recreational Retailer,"MNG Holdings, LLC",Recreational Retailer,609 E JACKSON ST MEDFORD OR  97504-6709,Jackson,2024-12-13,,,0,0,, 
050-1011662585D,Floyd's,Recreational Retailer,BTE 4 LLC,Recreational Retailer,2515 NW NICOLAI ST PORTLAND OR  97210-1814,Multnomah,2024-12-14,,,0,0,, 
050-1011666F84B,Urban Canna Apothecary,Recreational Retailer,JT Delange LLC,Recreational Retailer,1815 Main St Ste A SPRINGFIELD OR  97477-,Lane,2024-11-09,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1011675DFC6,Top Shelf Medicine,Recreational Retailer,TSM LLC,Recreational Retailer,657 SW COAST HWY NEWPORT OR  97365-5023,Lincoln,2025-02-07,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10116834C7B,Electric Lettuce Eugene,Recreational Retailer,GW Retail W. 11th INC,Recreational Retailer,1201 W 11TH AVE EUGENE OR  97402-4768,Lane,2025-05-26,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1011685A401,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,"20595 SW TUALATIN VALLEY HWY STE 102, BEAVERTON OR  97003-1762",Washington,2025-04-18,,,0,0,"Marijuana Home Delivery, Marijuana Home Delivery, Medical Marijuana Retailer, Medical Marijuana Retailer", 
050-1011718F505,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,3331 PACIFIC AVE FOREST GROVE OR  97116-1914,Washington,2024-09-08,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10117317F08,Rocky Mtn Dispensary,Recreational Retailer,Rocky Mtn Dispensary Inc,Recreational Retailer,743 W MAIN ST JOHN DAY OR  97845-1036,Grant,2025-08-07,,,0,0,Medical Marijuana Retailer, 
050-1011795F274,"Nectar Markets, LLC",Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,1624 NE 181ST AVE PORTLAND OR  97230-6723,Multnomah,2025-05-04,,,0,0,"Marijuana Home Delivery, Marijuana Home Delivery, Medical Marijuana Retailer, Medical Marijuana Retailer", 
050-10118198534,Mr. Nice Guy Retail,Recreational Retailer,"MNG Holdings, LLC",Recreational Retailer,275 S BROADWAY COOS BAY OR  97420-1616,Coos,2024-11-30,,,0,0,, 
050-101185442C9,OG Collective,Recreational Retailer,"OG Collective, LLC and OG Leasing, LLC",Recreational Retailer,1617 LIBERTY ST NE SALEM OR  97301-6461,Marion,2024-09-23,,,0,0,, 
050-101185528BE,Mr. Nice Guy Retail,Recreational Retailer,"MNG Holdings, LLC",Recreational Retailer,2794 MARKET ST NE STE B SALEM OR  97301-1641,Marion,2025-02-03,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101187459CB,Today's Herbal Choice Tillamook LLC,Recreational Retailer,"Today's Herbal Choice Tillamook, LLC",Recreational Retailer,2180 LARSON RD TILLAMOOK OR  97141-9246,Tillamook,2025-11-19,,,0,0,Medical Marijuana Retailer, 
050-101188454E0,Herbal Choices,Recreational Retailer,"HC Retail, Inc.",Recreational Retailer,1845 SHERMAN AVE NORTH BEND OR  97459-3417,Coos,2025-10-27,,,0,0,"Medical Marijuana Retailer, Medical Marijuana Retailer", 
050-1011885C837,Big Medicine Botanicals llc,Recreational Retailer,"Big Medicine Botanicals, LLC",Recreational Retailer,5594 NE COLUMBIA BLVD PORTLAND OR  97218-1236,Multnomah,2024-11-22,,,0,0,, 
050-1011974206C,Beaver Bowls,Recreational Retailer,Von Kniggie LTD,Recreational Retailer,1434 PACIFIC BLVD SE ALBANY OR  97321-4827,Linn,2025-07-18,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101197860FD,VidaVerde,Recreational Retailer,"VIDAVERDE LICENSES, INC.",Recreational Retailer,7333 NE GLISAN ST PORTLAND OR  97213-6352,Multnomah,2024-12-09,,,0,0,, 
050-1012006BB1E,Emerald Triangle Dispensary,Recreational Retailer,"ETD Enterprises, Inc",Recreational Retailer,"1630 NW GARDEN VALLEY BLVD STE 101 & 103, ROSEBURG OR  97471-1503",Douglas,2024-12-29,,,0,0,, 
050-1012021E786,Electric Lettuce Holgate,Recreational Retailer,Holgate Retail Investments Inc.,Recreational Retailer,12131 SE HOLGATE BLVD PORTLAND OR  97266-2161,Multnomah,2024-11-15,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101205209E9,Love Buzz,Recreational Retailer,THE SESSION LLC,Recreational Retailer,5425 NE GLISAN ST PORTLAND OR  97213-3062,Multnomah,2025-03-02,,,0,0,, 
050-1012077A338,Old School Bliss,Recreational Retailer,Old School Bliss LLC,Recreational Retailer,"2090 OLYMPIC ST UNIT D, SPRINGFIELD OR  97477-3406",Lane,2024-12-29,,,0,0,, 
050-10121449985,Eden,Recreational Retailer,Holman St Ventures LLC,Recreational Retailer,11309 NE HOLMAN ST PORTLAND OR  97220-1065,Multnomah,2024-03-07,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10121623400,Green Cross Cannabis Emporium,Recreational Retailer,"TLC Medical, Inc.",Recreational Retailer,341 SW CENTURY DR BEND OR  97702-1054,Deschutes,2024-12-17,,,0,0,,1721081-1
050-10121913172,Ocean Grown Cannabis Company,Recreational Retailer,Ocean Grown Cannabis Company LLC,Recreational Retailer,1597 E VILAS RD MEDFORD OR  97502-9471,Jackson,2024-10-23,,,0,0,, 
050-1012246E7D7,Top Shelf Wellness Center,Recreational Retailer,BB & G Group LLC,Recreational Retailer,7162 CRATER LAKE HWY WHITE CITY OR  97503-1614,Jackson,2024-12-04,,,0,0,, 
050-10124193FBD,Bahama Buds,Recreational Retailer,Point Break LLC,Recreational Retailer,1088 S HEMLOCK ST CANNON BEACH OR  97110-,Clatsop,2025-05-18,,,0,0,, 
050-10124660E00,Hotbox Farms,Recreational Retailer,Hotbox Farms LLC,Recreational Retailer,325 NE GOODFELLOW ST ONTARIO OR  97914-3040,Malheur,2024-09-23,,,0,0,, 
050-1012469940D,Redbarn Dispensary,Recreational Retailer,"RB Coos Bay 1, LLC",Recreational Retailer,902 S MAIN ST MYRTLE CREEK OR  97457-7328,Douglas,2025-09-09,,,0,0,"Marijuana Home Delivery, Marijuana Home Delivery, Medical Marijuana Retailer, Medical Marijuana Retailer", 
050-1012475B14E,Emerald Triangle Dispensary,Recreational Retailer,"Emerald Fields, Inc.",Recreational Retailer,838 PACIFIC BLVD SE ALBANY OR  97321-3207,Linn,2024-12-29,,,0,0,, 
050-10124782846,Western Oregon Dispensary,Recreational Retailer,"Western Oregon Dispensary, Inc.",Recreational Retailer,652 SW BASELINE ST HILLSBORO OR  97123-3844,Washington,2024-12-10,,,0,0,, 
050-1012479EF11,Red Barn Dispensary,Recreational Retailer,"RB Coquille 1, LLC.",Recreational Retailer,15 N BIRCH ST COQUILLE OR  97423-1287,Coos,2024-10-25,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1012482959A,Red Barn Dispensary,Recreational Retailer,"RB Bandon 1, LLC",Recreational Retailer,265 NORTH AVE SE BANDON OR  97411-9342,Coos,2024-10-25,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10124861F1E,Redbarn Dispensary,Recreational Retailer,RB Myrtle Point 1 LLC,Recreational Retailer,1107 MARYLAND AVE MYRTLE POINT OR  97458-1374,Coos,2025-05-25,,,0,0,"Marijuana Home Delivery, Marijuana Home Delivery, Medical Marijuana Retailer, Medical Marijuana Retailer", 
050-101248731A2,Emerald Triangle Dispensary,Recreational Retailer,"ETD Enterprises, Inc",Recreational Retailer,1818 E MCANDREWS RD MEDFORD OR  97504-5578,Jackson,2024-12-29,,,0,0,, 
050-1012488B7F2,Emerald Triangle Dispensary,Recreational Retailer,"ETD Enterprises, Inc",Recreational Retailer,2226 WASHBURN WAY KLAMATH FALLS OR  97603-4508,Klamath,2025-02-11,,,0,0,, 
050-1012526D914,House of Hash,Recreational Retailer,"Agrotek, LLC",Recreational Retailer,51456 Highway 97 # 3 LA PINE OR  97739-,Deschutes,2024-12-17,,,0,0,Medical Marijuana Retailer, 
050-1012564330F,Wildcat Oils & Flower,Recreational Retailer,Wildcat Holdings LLC,Recreational Retailer,6906 SE JOHNSON CREEK BLVD PORTLAND OR  97206-9460,Multnomah,2024-02-10,,,0,0,, 
050-10126270C7D,"Nectar Markets, LLC",Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,2422 SE HAWTHORNE BLVD PORTLAND OR  97214-3925,Multnomah,2025-01-20,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10126352F60,"Nectar Markets, LLC",Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,10477 SW BEAVERTON HILLSDALE HWY BEAVERTON OR  97005-3107,Washington,2024-11-21,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1012690FAAC,Zion Cannabis,Recreational Retailer,"Left Coast Canopy II, LLC",Recreational Retailer,2331 SW 5TH AVE PORTLAND OR  97201-6303,Multnomah,2024-06-26,,,0,0,, 
050-10126938755,Bud's,Recreational Retailer,454 LLC,Recreational Retailer,101 S RIVERSIDE AVE MEDFORD OR  97501-7234,Jackson,2024-06-01,,,0,0,, 
050-1012716F28A,"17 Farms, LLC",Recreational Retailer,17 Farms LLC,Recreational Retailer,550 MAIN ST SWEET HOME OR  97386-1427,Linn,2024-11-23,,,0,0,, 
050-10127857D22,Cannabis & Glass,Recreational Retailer,"NXNW RETAIL OREGON, LLC",Recreational Retailer,182 EAST LN S ONTARIO OR  97914-3011,Malheur,2024-12-10,,,0,0,, 
050-1012806512F,The Green Planet,Recreational Retailer,"The Green Planet, Inc.",Recreational Retailer,25496 S HIGHWAY 99E AURORA OR  97002-9320,Marion,2025-01-25,,,0,0,, 
050-1012848DB9F,Good Good,Recreational Retailer,RY Industries LLC,Recreational Retailer,100 SAINT HELENS ST SAINT HELENS OR  97051-2030,Columbia,2025-01-18,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1012871B839,OG Collective,Recreational Retailer,"OG Collective, LLC and OG Leasing, LLC",Recreational Retailer,"908 EDGEWATER ST NW STE 100, SALEM OR  97304-3820",Polk,2024-11-24,,,0,0,, 
050-1012887F9A0,Western Oregon Dispensary,Recreational Retailer,"Western Oregon Dispensary, Inc.",Recreational Retailer,19665 SW TUALATIN VALLEY HWY STE A BEAVERTON OR  97003-2352,Washington,2025-09-19,,,0,0,, 
050-10129165BBF,"Today's Herbal Choice Stayton, LLC",Recreational Retailer,"Today's Herbal Choice Stayton, LLC",Recreational Retailer,494 WILCO RD STAYTON OR  97383-1087,Marion,2024-12-28,,,0,0,, 
050-10129671010,RJ's Leaf,Recreational Retailer,Green Train LLC,Recreational Retailer,5501 NW SAINT HELENS RD PORTLAND OR  97210-1139,Multnomah,2024-12-07,,,0,0,, 
050-101304477BC,Kush Gardens Co,Recreational Retailer,LONDON PARTNERS LLC,Recreational Retailer,215 GALICE RD MERLIN OR  97532-8752,Josephine,2025-01-26,,,0,0,, 
050-101323878C8,Cola Cove,Recreational Retailer,"GW Retail Pacific Highway, Inc.",Recreational Retailer,13553 SW PACIFIC HWY TIGARD OR  97223-4832,Washington,2024-12-13,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1013239D34B,Electric Lettuce Alberta,Recreational Retailer,"GW Retail Alberta, Inc.",Recreational Retailer,1313 NE ALBERTA ST PORTLAND OR  97211-5005,Multnomah,2025-03-06,,,0,0,, 
050-1013305B57E,Farma,Recreational Retailer,"Farma on Hawthorne, Inc.",Recreational Retailer,916 SE HAWTHORNE BLVD PORTLAND OR  97214-3555,Multnomah,2024-11-27,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101338246B5,Top Hat Express,Recreational Retailer,"Verta-Go Ventures, LLC",Recreational Retailer,"11916 SE 22ND AVE STE B, MILWAUKIE OR  97222-7823",Clackamas,2024-02-18,,,0,0,, 
050-1013413CA5B,Ascend Dispensary,Recreational Retailer,REC REHAB CONSULTING LLC,Recreational Retailer,"13836 & 13826 NE Sandy Blvd  Portland, Oregon 97230",Multnomah,2025-02-18,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1013444DEA1,Top Shelf Wellness Center,Recreational Retailer,"Cardholder Care, Limited Liability Company",Recreational Retailer,"205 N PHOENIX RD STE C, PHOENIX OR  97535-9100",Jackson,2025-02-06,,,0,0,, 
050-10134898DE3,Growing Releaf Salem,Recreational Retailer,Growing ReLeaf Inc.,Recreational Retailer,309 SHIPPING ST NE SALEM OR  97301-6427,Marion,2024-04-05,,,0,0,, 
050-10135587382,Mr. Nice Guy Bend,Recreational Retailer,"MNG Bend, LLC",Recreational Retailer,224 SE DAVIS AVE BEND OR  97702-1334,Deschutes,2024-11-14,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101369028B1,LUCKY LION,Recreational Retailer,LL RETAIL INCORPORATED,Recreational Retailer,7815 NE HALSEY ST PORTLAND OR  97213-6730,Multnomah,2025-02-10,,,0,0,, 
050-1013745FADA,Canna Daddy's,Recreational Retailer,"GW Retail 17020 SE Division, Inc.",Recreational Retailer,17020 SE DIVISION ST PORTLAND OR  97236-1237,Multnomah,2025-06-30,,,0,0,"Marijuana Home Delivery, Marijuana Home Delivery, Medical Marijuana Retailer, Medical Marijuana Retailer", 
050-1013753ACFE,La Mota,Recreational Retailer,La Mota Medford 6 LLC,Recreational Retailer,1685 LANCASTER DR NE SALEM OR  97301-1965,Marion,2025-05-09,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10137563D3B,The Green Planet,Recreational Retailer,"The Green Planet, Inc.",Recreational Retailer,21600 SW TUALATIN VALLEY HWY BEAVERTON OR  97003-1347,Washington,2025-08-02,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101382780CF,"Nectar Markets, LLC",Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,1200 SE 1ST ST ONTARIO OR  97914-4368,Malheur,2024-08-18,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101385551D0,Weedology,Recreational Retailer,Segreto LLC,Recreational Retailer,591 E IDAHO AVE ONTARIO OR  97914-2544,Malheur,2025-07-18,,,0,0,"Medical Marijuana Retailer, Medical Marijuana Retailer", 
050-101386729BA,The Bud House,Recreational Retailer,Segreto LLC,Recreational Retailer,115 NE 2ND ST ONTARIO OR  97914-2508,Malheur,2025-01-06,,,0,0,, 
050-1013873660A,Frontier Farms - Hood River,Recreational Retailer,FFR Inc.,Recreational Retailer,602 OAK ST HOOD RIVER OR  97031-1812,Hood River,2025-05-07,,,0,0,, 
050-1013874BDF5,Oregon Euphorics,Recreational Retailer,"AG-X, LLC",Recreational Retailer,"70 SW CENTURY DR STE 170, BEND OR  97702-3561",Deschutes,2025-03-28,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101388544AE,M Thrive Organics LLC,Recreational Retailer,M Thrive Organics LLC,Recreational Retailer,600 N MAIN ST JOSEPH OR  97846-5037,Wallowa,2025-04-18,,,0,0,, 
050-1013962E065,BLOOMINATI CANNABIS CORP.,Recreational Retailer,BLOOMINATI CANNABIS CORP,Recreational Retailer,2420 PACIFIC AVE FOREST GROVE OR  97116-2452,Washington,2025-01-13,,,0,0,, 
050-101398626C5,Hall of Strains,Recreational Retailer,"305 Collective, LLC",Recreational Retailer,2595 STATE ST SALEM OR  97301-5052,Marion,2025-06-01,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10140009965,A Better Way Cannabis,Recreational Retailer,A Better Way Medicinal Alternatives LLC,Recreational Retailer,3255 Washburn Way Ste 4 KLAMATH FALLS OR  97603-,Klamath,2025-03-21,,,0,0,Medical Marijuana Retailer, 
050-10140374FF8,Electric Lettuce Foster-Powell,Recreational Retailer,"GW Retail Foster, Inc.",Recreational Retailer,5522 SE FOSTER RD PORTLAND OR  97206-3956,Multnomah,2025-07-10,,,0,0,"Marijuana Home Delivery, Marijuana Home Delivery, Medical Marijuana Retailer, Medical Marijuana Retailer", 
